,Column,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
10,10,25261,,[ISMALIA TEMPLE],LUNCHEON TENDERED IMPERIAL COUNCIL,POL;,"CATARACT HOUSE,NIAGARA FALLS,NY",BROADSIDE; ILLUS; COL; 4.5 X 6.5;,COMPLIMENTARY/TESTIMONIAL,,1899-476,,,1899-06-16T00:00:00Z,ISMALIA TEMPLE,,N/A,,COMPLETE,,
11,11,27147,,SEABOARD RAILWAY,LUNCH AND DINNER,RAILROAD,,7 1/2 X 5 IN.,,"Features : ""Low Priced Meal Service.""",SOETE 130,,,,SEABOARD RAILWAY,,N/A,,COMPLETE,1.0,
12,12,27163,,WESTERN PACIFIC,BREAKFAST,RAILROAD,THE FEATHER RIVER ROUTE,9 X 6 1/2 IN. FOLD. ; ILL.,,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,SOETE 176,,,1938-04-13T00:00:00Z,WESTERN PACIFIC,,DOLLARS,$,COMPLETE,4.0,
13,13,33877,WIEHL & WIDMAN,WIEHL & WIDMAN,,,,43X23CM,,fragile,1914-0578_WOTM,,,1914-06-08T00:00:00Z,WIEHL & WIDMAN,,DOLLER,$,COMPLETE,,
14,14,26299,,ASTOR HOUSE,DINNER,COMMERCIAL,NEW YORK,FOLDER; ILLUS; 7 X 10;,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-061,,,1900-01-06T00:00:00Z,ASTOR HOUSE,,DOLLERS,$,COMPLETE,,
15,15,24382,,[?],BANQU3T,SOCIAL.?,COPENHAGEN,BROADSIDE; 3.75 X 5.75;,?,MENU IN DANISH;,1898-028,,,1898-01-14T00:00:00Z,?,,UNKNOWN,,COMPLETE,,13.0
16,16,22110,,SPRINGFIELD CALEDONIANS,15NTH BURNS ANNIVERSARY,SOCIAL,HOTEL WORTHY,BOOKLET; ILLUS; 4.25 X 6.5;,ANNIVERSARYERSARY,COMPLETE PROGRAM LISTED;COMMITTEE MEMBERS INCLUDED;,1898-057,,,1898-01-25T00:00:00Z,SPRINGFIELD CALEDONIANS,,N/A,,COMPLETE,,
17,17,29494,,[CASINA DELLE ROSE & LUCCIOLA],,,,27X19.5CM FOLDED; 27X39CM OPEN,,,1955-0041_WOTM,,,1955-01-01T00:00:00Z,CASINA DELLE ROSE & LUCCIOLA,,ITALIAN LIRE,L,COMPLETE,,
18,18,30534,,[HOTEL ST. REGIS],,,,13X9CM FOLDED; 13X16.5CM OPEN,,National Association of Book Publishers,1937-0008_WOTM,,,1937-01-20T00:00:00Z,HOTEL ST. REGIS,,,,COMPLETE,2.0,8.0
19,19,34398,COPLEY PLAZA,COPLEY PLAZA,,,,20.5X12.5CM FOLDED; 20.5X25CM OPEN,,Massachusetts Bankers Association,1913-0021_WOTM,,,1913-01-08T00:00:00Z,COPLEY PLAZA,,N/A,,COMPLETE,5.0,
20,20,15818,,,,,,,,,,,,1900-08-16T00:00:00Z,NIPPON YUSEN KAISHA,,UNKNOWN,,COMPLETE,,
21,21,29745,,UNIVERSITY OF RICHMOND,,,,20.5X13.5CM FOLDED; 20.5X27.5CM OPEN,,In honor of fifty years of distinguished service of Frederic Williams Boatwright,1945-0005_WOTM,,,1945-01-01T00:00:00Z,UNIVERSITY OF RICHMOND,,,,COMPLETE,11.0,12.0
22,22,32912,THE NEW MILLS HOTEL,THE NEW MILLS HOTEL,,,,16X12CM FOLDED; 16X24CM OPEN,,,1917-0652_WOTM,,,1917-11-23T00:00:00Z,THE NEW MILLS HOTEL,,DOLARS,$,COMPLETE,4.0,67.0
23,23,34038,[RESTAURANT NAME AND/OR LOCATION NOT GIVEN],[[RESTAURANT NAME AND/OR LOCATION NOT GIVEN]],,,,22X11CM,,,1914-0741_WOTM,,,1914-07-12T00:00:00Z,[RESTAURANT NAME AND/OR LOCATION NOT GIVEN],,DOLARS,$,COMPLETE,1.0,
24,24,33189,LOUIS SHERRY,[LOUIS SHERRY],,,,26.5X15.5CM FOLDED; 26.5X31CM OPEN,,,1917-0939_WOTM,,,1917-12-15T00:00:00Z,LOUIS SHERRY,,DOLLARS,$,COMPLETE,,
25,25,14250,,SUMMIT HOUSE,DINNER,COMMERCIAL,"MOUNT WASHINGTON, NH",CARD; 4.5X7;,DAILY;,,1901-2194,,,1901-08-23T00:00:00Z,SUMMIT HOUSE,,N/A,,COMPLETE,,
26,26,32522,THE MOUQUIN RESTAURANT AND WINE CO.,THE MOUQUIN RESTAURANT AND WINE CO.,,,,35.5X19.5CM FOLDED; 35.5X39CM OPEN,,breakfast,1918-0119_WOTM,,,1918-01-20T00:00:00Z,THE MOUQUIN RESTAURANT AND WINE CO.,,DOLLER,$,COMPLETE,,172.0
27,27,24151,,DETROIT BOARD OF COMMERCE,SECOND ANNUAL DINNER,COMMERCIAL,"DETROIT, MI",BOOKLET; ILLUS; COL; 6.75X10.25;,ANNIVERSARY;,"MENU IN FRENCH; LISTS MANHATTAN COCKTAILS AND WINES SERVED WITH INDIVIDUAL COURSES; INCLUDES PHOTOGRAPH OF GUEST OF HONOR, HON. WILLIAM H. TAFT, SECRETARY OF WAR; PHOTOGRAPH OF MR. TAFT INCLUDED; MUSIC PROGRAMME; TOASTS; OFFICERS AND COMMITTEES LISTED; SE",1906-192,,,1906-02-19T00:00:00Z,DETROIT BOARD OF COMMERCE,,N/A,,COMPLETE,14.0,27.0
28,28,33790,HOTEL BELVEDERE,[HOTEL BELVEDERE],,,,18X12.5 CM FOLDED; 18X25CM OPEN,,Traffic Club of Baltimore,1914-0247_WOTM,,,1914-02-17T00:00:00Z,HOTEL BELVEDERE,,,,COMPLETE,4.0,
29,29,32971,[RESTAURANT NAME AND/OR LOCATION NOT GIVEN],[[RESTAURANT NAME AND/OR LOCATION NOT GIVEN]],,,,24X15CM,,,1917-0711_WOTM,,,1917-11-28T00:00:00Z,[RESTAURANT NAME AND/OR LOCATION NOT GIVEN],,DOLLARS,$,COMPLETE,1.0,
30,30,22365,,[THE PORTLAND],THANKSGIVING DINNER,COM,"PORTLAND, OREGON",BOOKLET; ILL; 5.25X6.75,SECULAR HOLIDAY,FASTENED AT LEFT BY RIBBON,1891-121,,,1891-11-01T00:00:00Z,THE PORTLAND,,NULL,,COMPLETE,,
31,31,27130,,SOUTHERN PACIFIC,BREAKFAST,RAILROAD,"THE BEAVER, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Mile-High Lake Tahoe. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options. Insert : ""Economy Breakfast.""",SOETE 101,,,,SOUTHERN PACIFIC,,DOLLARS,$,COMPLETE,,
32,32,31432,,[THE MAYFLOWER HOTEL],,,,23X16CM FOLDED; 23X32CM OPEN,,Democratic National Committee,1932-0001_WOTM,,,1932-01-08T00:00:00Z,THE MAYFLOWER HOTEL,,UNKNOWN,,COMPLETE,,
33,33,12783,,[COLONIAL HOTEL],MENU,COMMERCIAL.?,"NEW YORK, NY",FOLDER; ILLUS; 6.25X10;,,"[DATE HANDWRITTEN]; MANY ADDITIONAL ITEMS TO MENU HANDWRITTEN; ""CREAM WITH TEA, COFFEE, ETC.,FIVE CENTS EXTRA;"" ILLUSTRATION OF HOTEL ON COVER;",1900-1015,,,1900-02-12T00:00:00Z,COLONIAL HOTEL,,DOLARS,$,COMPLETE,4.0,378.0
34,34,23099,,[WOODSTOCK INN],BREAKFAST MENU,COMMERCIAL,"WOODSTOCK, VT",BROADSIDE; 4.5X6.5;,,,1894-079,,,,WOODSTOCK INN,,NONE,,COMPLETE,,
35,35,23580,,HAMBURG-AMERIKA LINIE,ZWEITES FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",CARD; ILLUS; COL; 5X8;,,"GERMAN & ENGLISH; ILLUSTRATION OF STEAMER, GODDESS OF FOOD, DECORATIVE VINES & FRUITS;",1901-814,,,1901-04-01T00:00:00Z,HAMBURG AMERIKA LINIE,,NULL,,COMPLETE,,26.0
36,36,26460,,[YAMATO],,RESTAURANT.?,YAMATO,BOOKLET; 11 X 13.25 INCHES,,Dieter Zander Collection; descriptions of Japanese dishware; includes insert with late supper menu.,ZANDER 128,,,,YAMATO,,DOLLER,$,COMPLETE,,93.0
37,37,27437,,RED STAR LINE,DINNER (?),SS; FOR,ON BOARD THE SS VADERLAND,CARD; ILLUS; COL; 5.5 X 7.75,OTHER (DAILY MENU),ILLUS OF WOMEN AT DOCK; DESIGNED TO BE USED AS POSTCARD; IN ENGLISH ONLY; POSTAL RATES FOR VARIOUS PORTS GIVEN; SIMPLE MENU,1910-912,,,1910-03-17T00:00:00Z,S.S. VADERLAND,,NONE,,COMPLETE,2.0,
38,38,29986,,THE BRASS RAIL,,,,38X25.5CM FOLDED; 38X51CM OPEN,,,1949-0076_WOTM,,,1949-12-23T00:00:00Z,THE BRASS RAIL,,DOLLARS,$,COMPLETE,4.0,
39,39,30022,,COMSTOCK ROOM OF THE PALACE HOTEL,,,,24X16CM FOLDED; 24X31.5CM OPEN,,,1948-0029_WOTM,,,1948-03-16T00:00:00Z,COMSTOCK ROOM OF THE PALACE HOTEL,,UNKNOWN,,COMPLETE,,
40,40,32463,HEALY'S FORTY-SECOND STREET RESTAURANT,HEALY'S FORTY-SECOND STREET RESTAURANT,,,,33X18CM,,,1918-0069_WOTM,,,1918-01-15T00:00:00Z,HEALY'S FORTY-SECOND STREET RESTAURANT,,DOLLARS,$,COMPLETE,,226.0
41,41,31097,,[THE COMMODORE HOTEL],,,,19.5X14CM,,grill room luncheon,1933-0199_WOTM,,,1933-05-18T00:00:00Z,THE COMMODORE HOTEL,,N/A,,COMPLETE,,25.0
42,42,17273,,,,,,,,,,,,,NIPPON YUSEN KAISHA,,,,COMPLETE,,
43,43,12527,,CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""CAMPANIA""",CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY);,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2140,,,1900-02-26T00:00:00Z,CUNARD LINE,,NONE,,COMPLETE,2.0,93.0
44,44,25566,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",CARD; ILLUS; COL; 5.25X8;,,GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP IN HARBOUR SURROUNDED BY SMALLER VESSELS;,1901-950,,,1901-04-18T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,NONE,,COMPLETE,,75.0
45,45,20249,,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL.?,EN ROUTE ABOARD FURST BISMARCK,CARD; ILLUS; COL; 5 X 8;,,MENU IN GERMAN ONLY; ILLUSTATION OF SHIP AND WOMAN IN CLASSICAL DRESS WITH SHIELD SAYING HAPAG;,1901-1701,,,1901-06-20T00:00:00Z,HAMBURG AMERIKA LINIE,,,,COMPLETE,,
46,46,22779,,[THE PENNSYLVANIA BAR ASSOCIATION ON BEHALF OF THE BAR OF THE COMMONWEALTH],BANUQET,PROF;,"HORTICULTURAL HALL, PHILADELPHIA, PA",BOOKLET; ILLUS; COL; 7X8.75;,COMPLIMENTARY/TESTIMONIAL,"WINES LISTED; DRAWINGS AND QUOTES THROUGHOUT; PHOTO OF MR. MITCHELL AND DATES PERTINENT TO HIS LIFE LISTED; TOASTS, MUSIC AND PARTICIPANTS LISTED;",1907-997,,,1907-11-23T00:00:00Z,THE PENNSYLVANIA BAR ASSOCIATION ON BEHALF OF THE BAR OF THE COMMONWEALTH,,N/A,,COMPLETE,,29.0
47,47,34189,YE OLDE DUTCH TAVERN,YE OLDE DUTCH TAVERN,,,,28X18CM,,,1914-0891_WOTM,,,1914-09-01T00:00:00Z,YE OLDE DUTCH TAVERN,,DOLLARS,$,COMPLETE,2.0,
48,48,28340,,[TOPSIDE],,,,10X15CM FOLDED; 29X15CM OPEN,,,1982-0001_WOTM,,,1982-07-27T00:00:00Z,TOPSIDE,,DOLARS,$,COMPLETE,,
49,49,29900,,[THE MAPLEWOOD],,,,26.5X17.5CM,,,1948-0058_WOTM,,,1948-08-27T00:00:00Z,THE MAPLEWOOD,,N/A,,COMPLETE,,
50,50,35356,ADAM'S RESTAURANT,[ADAM'S RESTAURANT],,,,,,Domestic Science at Hampton,1913-0584_WOTM,,,1913-06-23T00:00:00Z,ADAM'S RESTAURANT,,DOLLER,$,COMPLETE,,
51,51,20904,,TOYO KISEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4487,,,1900-09-26T00:00:00Z,TOYO KISEN KAISHA,,N/A,,COMPLETE,,37.0
52,52,17067,,[NORDDEUTSCHERRR LLOYD BREMEN],BREAKFAST,COMMERCIAL.?,"SS ""FRIEDRICH DER GROSSE""",CARD; ILLUS; COL; 5.25X8;,,"GERMAN & ENGLISH; ILLUSTRATIONS OF SEA SCENE WITH MANY SHIPS, ALSO A TABLE SET WITH TANKARD, WINEGLASSES, WINE BOTTLE, LOBSTER; CARD ALSO A POSTCARD;",1901-1679,,,1901-06-18T00:00:00Z,NORDDEUTSCHERRR LLOYD BREMEN,,N/A,,COMPLETE,,
53,53,26336,,LONGFELLOW CENTENARY,DINNER,SOC;.?,"NATIONAL ARTS CLUB, NEW YORK, NY",CARD; COL; 4.5X7;,COMPLIMENTARY/TESTIMONIAL,BUFF STOCK;,1907-276,,,1907-02-27T00:00:00Z,LONGFELLOW CENTENARY,,,,COMPLETE,,
54,54,35060,GARDNER & SMITH,[GARDNER & SMITH],,,,,,The Mendelssohn Glee Club,1913-0288_WOTM,,,1913-03-14T00:00:00Z,GARDNER & SMITH,,DOLARS,$,COMPLETE,4.0,
55,55,33085,FIFTH AVENUE RESTAURANT,[FIFTH AVENUE RESTAURANT],,,,26.5X20.5CM FOLDED; 26.5X41CM OPEN,,,1917-0578_WOTM,,,1917-11-20T00:00:00Z,FIFTH AVENUE RESTAURANT,,DOLLARS,$,COMPLETE,,
56,56,13714,,TOYO KISEN KAISHA - HING KONG MARU,BREAKFAST,COM,EN ROUTE,"FOLDER; ILLUS, COVER;3 X 7.75;",,,1900-4638,,,,TOYO KISEN KAISHA   HING KONG MARU,,,,COMPLETE,2.0,24.0
57,57,24824,,[NORWEGIAN GOVERNMENT],DINNER TO QUEEN ALEXANDRE & PRINCESS VICTORIA OF RUSSIA,GOV;,"PALAIS ROYAL - CHRISTIANIA,NORWAY",CARD;ROYAL EMBLEM;3X5;,COMPLIMENTARY/TESTIMONIAL,BANQUET,1907-752,,,1907-08-24T00:00:00Z,NORWEGIAN GOVERNMENT,,,,COMPLETE,,11.0
58,58,14425,,[TWENTIETH CENTURY ALDERMANIR ASSOCIATION],DINNER,SOC;,"COPLEY SQUARE HOTEL, BOSTON, MA",FOLDER; 4X6;,COMPLIMENTARY/TESTIMONIAL,,1907-1051,,,1907-12-07T00:00:00Z,TWENTIETH CENTURY ALDERMANIR ASSOCIATION,,NULL,,COMPLETE,,
59,59,33147,JOHN WANAMAKER,[JOHN WANAMAKER],,,,25.5X17.5CM,,,1917-0897_WOTM,,,1917-12-11T00:00:00Z,JOHN WANAMAKER,,DOLLER,$,COMPLETE,1.0,
60,60,30386,,UNITED STATES SENATE OFFICE BUILDING RESTAURANT,,,,28X20.5CM,,,1940-0050_WOTM,,,1940-03-30T00:00:00Z,UNITED STATES SENATE OFFICE BUILDING RESTAURANT,,DOLLER,$,COMPLETE,,
61,61,29254,,TOOTS SHOR,,,,35X25.5CM FOLDED; 35X51CM OPEN,,,1954-0030_WOTM,,,1954-04-14T00:00:00Z,TOOTS SHOR,,DOLLARS,$,COMPLETE,,
62,62,26846,,[RESTAURANT KONIGHOF],,RESTAURANT,RESTAURANT KONIGHOF,FOLDER; 5 X 8 INCHES,,Dieter Zander Collection.,ZANDER 318 UNDATED,,,,RESTAURANT KONIGHOF,,,,COMPLETE,2.0,7.0
63,63,23890,,[HAMBURG-AMERIKA LINIE],"DAILY MENU, DINNER",COMMERCIAL,"ON BOARD ""KAISERIN AUGUSTE VICTORIA""",BROADSIDE; COL; 8.5X12.5;,,"THIS WAS OBTAINED ON BOARD THE 'KAISERIN AUGUSTE VICTORIA' 18, JULY, 1906 BUTTOLPH WRITTEN ON BACK; RITZ CARLTON RESTAURANT PRICED MENU; MENU IN FRENCH;",1906-576,,,1906-07-14T00:00:00Z,HAMBURG AMERIKA LINIE,,DEUTSCHE MARKS,DM,COMPLETE,,
64,64,27374,,[PARK LANE],DINNER,RESTAURANT,PARK LANE; PARK LOUNGE,BROADSIDE; 7.75 X 12.25 INCHES,SECULAR HOLIDAY,"Baratta collection; wine suggestions; couvert $8.00 per person; music by Jan Schaff; ""Service from Noon Onward In The Park Lounge""; color (red, gold)",BARATTA 83,,,1963-11-28T00:00:00Z,PARK LANE,,DOLLERS,$,COMPLETE,,38.0
65,65,24304,,[FRATERNAL UNION OF ANOINTED HIGH PRIESTS OF THE STATE OF NEW YORK],BANUQET,SOC;,"RICCADONNA'S, NEW YORK, NY",FOLDER; ILLUS;4.5X5.5;,ANNIVERSARY;,DECORATED WITH GOLD LEAVES AND MENU EMBOSSED; INCLUDES OFFICERS AND DETAILS OF PROGRAM,1893-073,,,1893-06-05T00:00:00Z,FRATERNAL UNION OF ANOINTED HIGH PRIESTS OF THE STATE OF NEW YORK,,UNKNOWN,,COMPLETE,4.0,
66,66,19841,,[HAMBURG-AMERIKA LINIE],LUNCH,COMMERCIAL.?,EN ROUTE ABOARD SCNELLDAMPFER (EXPRESS STEAMER) AUGUSTE VICTORIA,CARD; ILLS; 5 X 8;,,GERMAN AND ENGLISH; WOMAN IN CLASSICAL DRESS HOLDING SHIELD WITH INITIALS  H.A.P.A.G.; STEAMER; FRUITS;,1900-2593,,,1900-03-28T00:00:00Z,HAMBURG AMERIKA LINIE,,N/A,,COMPLETE,,
67,67,33173,THE BILTMORE,[THE BILTMORE],,,,28X18CM FOLDED; 28X36CM OPEN,,,1917-0923_WOTM,,,1917-12-14T00:00:00Z,THE BILTMORE,,DOLLER,$,COMPLETE,4.0,
68,68,12993,,[PENNSYLVANIA RAILROAD],PERSONALLY CONDUCTED TOUR THROUGH MEXICO & CALIFORNIA,COMMERCIAL,"PULLMAN, EN ROUTE",CARD; 5.25X7;,,,1900-1086,,,1900-02-15T00:00:00Z,PENNSYLVANIA RAILROAD,,NULL,,COMPLETE,,
69,69,30175,,[WALDORF ASTORIA],,,,23.5X15.5CM FOLDED; 23.5X31CM OPEN,,Metropolitan Life Insurance Company,1939-0127_WOTM,,,1939-05-24T00:00:00Z,WALDORF ASTORIA,,,,COMPLETE,22.0,
70,70,35148,HANOVER LUNCH,[HANOVER LUNCH],,,,,,Brownsville Board of Trade,1913-0376_WOTM,,,,HANOVER LUNCH,,DRACHMAS,DRS.,COMPLETE,2.0,69.0
71,71,28552,,[R.M.S. PARTHIA],,,,16.5X21CM FOLDED; 16.5X42CM OPEN,,,1957-0090_WOTM,,,1957-09-06T00:00:00Z,R.M.S. PARTHIA,,UNKNOWN,,COMPLETE,3.0,
72,72,20862,,[NIPPON YUSEN KAISHA],DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSHEET; ILLUS; COL; 10.5 X 9.5;,,HANDWRITTEN; ILLUSTRATION OF CHILDREN CARRYING LANTERNS AND DRUM; MAP OF STEAMSHIP ROUTES ON BACK;,1900-4198,,,1900-08-30T00:00:00Z,NIPPON YUSEN KAISHA,,UNKNOWN,,COMPLETE,,
73,73,31437,,[HOTEL BREVOORT],,,,46X15CM,,The Dickens Fellowship,1932-0006_WOTM,,,1932-06-02T00:00:00Z,HOTEL BREVOORT,,NULL,,COMPLETE,1.0,
74,74,29984,,[[RESTAURANT AND/OR LOCATION NOT GIVEN]],,,,25X19CM FOLDED; 25X38CM OPEN,,,1949-0074_WOTM,,,1949-12-24T00:00:00Z,[RESTAURANT AND/OR LOCATION NOT GIVEN],,,,COMPLETE,,
75,75,32747,HOTEL IMPERIAL,HOTEL IMPERIAL,,,,28X18CM,,,1917-0484_WOTM,,,1917-11-15T00:00:00Z,HOTEL IMPERIAL,,DOLLERS,$,COMPLETE,2.0,113.0
76,76,30956,,HOTEL MAJESTIC,,,,19X12CM,,,1938-0184_WOTM,,,1938-12-15T00:00:00Z,HOTEL MAJESTIC,,,,COMPLETE,,
77,77,20197,,[NIPPON YUSEN KAISHA],TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSIDE; 5.5 X 7.75;,DAILY,HANDWRITTEN; RED BORDER;,1900-4668,,,1900-10-11T00:00:00Z,NIPPON YUSEN KAISHA,,UNKNOWN,,COMPLETE,,
78,78,32375,HEALY'S FORTY-SECOND STREET RESTAURANT,[HEALY'S FORTY-SECOND STREET RESTAURANT],,,,33X18CM,,dinner,1918-0251_WOTM,,,1918-02-19T00:00:00Z,HEALY'S FORTY-SECOND STREET RESTAURANT,,DOLLARS,$,COMPLETE,,311.0
79,79,33159,WALDORF ASTORIA,[WALDORF ASTORIA],,,,23X17.5CM FOLDED; 23X35CM OPENED,,,1917-0909_WOTM,,,1917-12-12T00:00:00Z,WALDORF ASTORIA,,DOLLARS,$,COMPLETE,4.0,
80,80,28244,,S.S. NIEUW AMSTERDAM,,,,34X21CM,,,1965-0056_WOTM,,,1965-03-07T00:00:00Z,S.S. NIEUW AMSTERDAM,,UNKNOWN,,COMPLETE,,
81,81,31473,,"[T.N. ""CONTE DI SAVOIA""""""]",,,,20X14CM FOLDED; 20X28CM OPEN,,,1932-0042_WOTM,,,1932-12-17T00:00:00Z,"T.N. ""CONTE DI SAVOIA""""""",,N/A,,COMPLETE,,48.0
82,82,14836,,,,,,,,,,,,,MASTER PRINTERS' ASSOCIATION,,,,COMPLETE,2.0,30.0
83,83,27911,,THE FOUR SEASONS,,,,22X14CM FOLDED; 22X28CM OPEN,,,1973-0019_WOTM,,,1973-01-17T00:00:00Z,"THE WINE AND FOOD SOCIETY, INCORPORATED, NEW YORK",,NULL,,COMPLETE,,
84,84,12482,,NOVIOMAGUS,DINNER,,"FREEMASONS' TAVERN, [LONDON, ENGLAND]",CARD; 4.25X6.25;,,FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU];,1900-2856,,,1900-04-18T00:00:00Z,NOVIOMAGUS,,N/A,,COMPLETE,,
85,85,19715,,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,66TH STREET AND BROADWAY [NY],CARD;4.75 X 7.5;,,PRICED MENU;,1900-2193,,,1900-02-27T00:00:00Z,HOTEL MARIE ANTOINETTE,,DOLLARS,$,COMPLETE,2.0,81.0
86,86,16941,,STATLER'S HOTEL AND RESTAURANT,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",CARD; COL; ILLUS; 5.75 X 8;,,GREEN ILLUSTRATION OF HOTEL AND BUFFALO EXPOSITION (?);,1901-1813,,,1901-02-07T00:00:00Z,STATLER'S HOTEL AND RESTAURANT,,N/A,,COMPLETE,,23.0
87,87,35307,PLAZA,[PLAZA],,,,,,The Chironian,1913-0535_WOTM,,,1913-05-29T00:00:00Z,PLAZA,,NONE,,COMPLETE,,
88,88,28851,,[HOLLAND AMERICA CRUISES],,,,28X21.5CM FOLDED; 28X43 OPEN,,,1987-0084_WOTM,,,1987-01-01T00:00:00Z,HOLLAND AMERICA CRUISES,,DOLLARS,$,COMPLETE,,45.0
89,89,32703,DELMONICOS,DELMONICOS,,,,30.5X22CM,,menu also printed in French,1917-0441_WOTM,,,1917-11-13T00:00:00Z,DELMONICOS,,DOLLARS,$,COMPLETE,2.0,
90,90,23366,,SOCIETY SONS OF THE REVOLUTION IN THE STATE OF MISSOURI,FIRST ANNUAL BANQUET,PATR;,"MERCANTILE CLUB HOUSE, ST. LOUIS MO",CARD FOLDER; ILLUS; COL; 4.25 X 5.5;,OTHER (ANNIV),"PORTRAIT OF WASHINGTON, BLUE; GOLD LAUREL WREATH; FRENCH; TWO COPIES;",1895-043,,,1895-02-22T00:00:00Z,SOCIETY SONS OF THE REVOLUTION IN THE STATE OF MISSOURI,,N/A,,COMPLETE,6.0,
