,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
32,31432,,The Mayflower Hotel,,,,23x16cm folded; 23x32cm open,, Democratic National Committee ,1932-0001_wotm,,,1932.01.08,The Mayflower Hotel,,unknown,,complete,4.0,14.0
33,12783,,[COLONIAL HOTEL],MENU,COMMERCIAL.,"NEW YORK, NY",folder; illus; 6.25x10;,,"[DATE HANDWRITTEN]; MANY ADDITIONAL ITEMS TO MENU HANDWRITTEN; ""CREAM WITH TEA, COFFEE, ETC.,FIVE CENTS EXTRA;"" ILLUSTRATION OF HOTEL ON COVER;",1900-1015,,,02/12/1900,Colonial Hotel,,Dollars,$,complete,4.0,378.0
34,23099,,woodstock inn,BREAKFAST MENU,COMMERCIAL,"WOODSTOCK, VT",broadside; 4.5x6.5;,,,1894-079,,,1894.08.29,Woodstock Inn,,None,,complete,2.0,34.0
35,23580,,hamburg-amerika linie,ZWEITES FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",card; illus; col; 5x8;,," GERMAN & ENGLISH; ILLUSTRATION OF STEAMER, GODDESS OF FOOD, DECORATIVE VINES & FRUITS; ",1901-814,,,01-04-1901,Hamburg Amerika Linie,,N/A,,complete,2.0 pages,26.0
36,26460,,Yamato,,RESTAURANT,Yamato,Booklet; 11 x 13.25 inches,, Dieter Zander Collection; descriptions of Japanese dishware; includes insert with late supper menu. ,Zander 128,,,,Yamato,,Dollars,$,complete,12.0,93.0
37,27437,,RED STAR LINE,DINNER (?),SS; FOR,ON BOARD THE SS VADERLAND,card; illus; col; 5.5 x 7.75,OTHER (DAILY MENU),ILLUS OF WOMEN AT DOCK; DESIGNED TO BE USED AS POSTCARD; IN ENGLISH ONLY; POSTAL RATES FOR VARIOUS PORTS GIVEN; SIMPLE MENU,1910-912,,,1910.03.17,S.S. Vaderland,,n/a,,complete,2.0 pages,9.0
38,29986,,The Brass Rail,,,,38x25.5cm folded; 38x51cm open,,,1949-0076_wotm,,,23-12-1949,The Brass Rail,,Dollars,$,complete,4.0 pages,430.0
39,30022,,[Comstock Room Of The Palace Hotel],,,,24x16cm folded; 24x31.5cm open,,,1948-0029_wotm,,,16-03-1948,Comstock Room Of The Palace Hotel,,None,,complete,4.0,14.0
40,32463,Healy's Forty-second Street Restaurant,[healy's forty-second street restaurant],,,,33x18cm,,,1918-0069_wotm,,,01/15/1918,Healy's Forty-second Street Restaurant,,Doller,$,complete,2.0,226.0
41,31097,,[The Commodore Hotel],,,,19.5x14cm,,grill room luncheon,1933-0199_wotm,,,1933.05.18,The Commodore Hotel,,n/a,,complete,1.0 pages,25.0
42,17273,,,,,,,,,,,,1900-08-22,Nippon Yusen Kaisha,,unknown,,complete,2.0,14.0
43,12527,,[CUNARD LINE],DINNER,COMMERCIAL,"R.M.S. ""CAMPANIA""",card; illus; col; 4.5x6.5;,  OTHER (DAILY);  ," PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP; ",1900-2140,,,1900.02.26,Cunard Line,,n/a,,complete,2.0,93.0
44,25566,,[NORDDEUTSCHER LLOYD BREMEN],FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",CARD; ILLUS; COL; 5.25X8;,, GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP IN HARBOUR SURROUNDED BY SMALLER VESSELS; ,1901-950,,,18-04-1901,Norddeutscher Lloyd Bremen,,N/A,,complete,2.0,75.0
45,20249,,[hamburg-amerika linie],LUNCH,COMMERCIAL.,EN ROUTE ABOARD FURST BISMARCK,CARD; ILLUS; COL; 5 X 8;,,MENU IN GERMAN ONLY; ILLUSTATION OF SHIP AND WOMAN IN CLASSICAL DRESS WITH SHIELD SAYING HAPAG;,1901-1701,,,06/20/1901,Hamburg Amerika Linie,,,,complete,2.0,11.0
46,22779,,[THE PENNSYLVANIA BAR ASSOCIATION ON BEHALF OF THE BAR OF THE COMMONWEALTH],banqu3t,PROF;.,"HORTICULTURAL HALL, PHILADELPHIA, PA",booklet; illus; col; 7x8.75;,COMPLIMENTARY/TESTIMONIAL," WINES LISTED; DRAWINGS AND QUOTES THROUGHOUT; PHOTO OF MR. MITCHELL AND DATES PERTINENT TO HIS LIFE LISTED; TOASTS, MUSIC AND PARTICIPANTS LISTED; ",1907-997,,,1907.11.23,The Pennsylvania Bar Association On Behalf Of The Bar Of The Commonwealth,,,,complete,20.0,29.0
47,34189,Ye Olde Dutch Tavern,[Ye Olde Dutch Tavern],,,,28x18cm,,,1914-0891_wotm,,,1914-09-01,Ye Olde Dutch Tavern,,Dollers,$,complete,2.0,218.0
48,28340,,Topside,,,,10x15cm folded; 29x15cm open,,,1982-0001_wotm,,,07/27/1982,Topside,,Dolars,$,complete,3.0,97.0
49,29900,,the maplewood,,,,26.5x17.5cm,,,1948-0058_wotm,,,1948-08-27,The Maplewood,,n/a,,complete,2.0,33.0
50,35356,Adam's Restaurant,[Adam's Restaurant],,,,,,Domestic Science at Hampton,1913-0584_wotm,,,1913.06.23,Adam's Restaurant,,Dollers,$,complete,4.0,22.0
51,20904,,TOYO KISEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4487,,,26-09-1900,Toyo Kisen Kaisha,,,,complete,2.0,37.0
52,17067,,NORDDEUTSCHERRR LLOYD BREMEN,BREAKFAST,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",card; illus; col; 5.25x8;,,"GERMAN & ENGLISH; ILLUSTRATIONS OF SEA SCENE WITH MANY SHIPS, ALSO A TABLE SET WITH TANKARD, WINEGLASSES, WINE BOTTLE, LOBSTER; CARD ALSO A POSTCARD;",1901-1679,,,18-06-1901,Norddeutscherrr Lloyd Bremen,,N/A,,complete,2.0,68.0
53,26336,,LONGFELLOW CENTENARY,DINNER,SOC;,"NATIONAL ARTS CLUB, NEW YORK, NY",CARD; COL; 4.5X7;,  COMPLIMENTARY/TESTIMONIAL  , BUFF STOCK; ,1907-276,,,27-02-1907,Longfellow Centenary,,,,complete,2.0 pages,13.0
54,35060,Gardner & Smith,[Gardner & Smith],,,,,,The Mendelssohn Glee Club,1913-0288_wotm,,,1913.03.14,Gardner & Smith,,Dollars,$,complete,4.0,298.0
55,33085,Fifth Avenue Restaurant,[Fifth Avenue Restaurant],,,,26.5x20.5cm folded; 26.5x41cm open,,,1917-0578_wotm,,,11/20/1917,Fifth Avenue Restaurant,,Doller,$,complete,3.0,125.0
56,13714,,TOYO KISEN KAISHA - HING KONG MARU,BREAKFAST,COM,EN ROUTE,"FOLDER; ILLUS, COVER;3 X 7.75;",,,1900-4638,,,09-10-1900,Toyo Kisen Kaisha   Hing Kong Maru,,unknown,,complete,2.0,24.0
57,24824,,[norwegian government],DINNER TO QUEEN ALEXANDRE & PRINCESS VICTORIA OF RUSSIA,GOV;,"PALAIS ROYAL - CHRISTIANIA,NORWAY",CARD;ROYAL EMBLEM;3X5;,  COMPLIMENTARY/TESTIMONIAL  ,MENU IN FRENCH;,1907-752,,,08/24/1907,Norwegian Government,,null,,complete,2.0,11.0
58,14425,,[TWENTIETH CENTURY ALDERMANIR ASSOCIATION],DINNER,SOC;.,"COPLEY SQUARE HOTEL, BOSTON, MA",FOLDER; 4X6;,COMPLIMENTARY/TESTIMONIAL,,1907-1051,,,1907.12.07,Twentieth Century Aldermanir Association,,,,complete,4.0,18.0
59,33147,John Wanamaker,[John Wanamaker],,,,25.5x17.5cm,,,1917-0897_wotm,,,1917-12-11,John Wanamaker,,Dollars,$,complete,1.0,43.0
60,30386,,[United States Senate Office Building Restaurant],,,,28x20.5cm,,,1940-0050_wotm,,,1940-03-30,United States Senate Office Building Restaurant,,Dollers,$,complete,1.0,90.0
61,29254,,[Toots Shor],,,,35x25.5cm folded; 35x51cm open,,,1954-0030_wotm,,,1954.04.14,Toots Shor,,Dolars,$,complete,4.0,151.0
62,26846,,[Restaurant Konighof],,RESTAURANT,Restaurant Konighof,Folder; 5 x 8 inches,,Dieter Zander Collection.,Zander 318 undated,,,,Restaurant Konighof,,null,,complete,2.0,7.0
63,23890,,HAMBURG-AMERIKA LINIE,"DAILY MENU, DINNER",COMMERCIAL.,"ON BOARD ""KAISERIN AUGUSTE VICTORIA""",BROADSIDE; COL; 8.5X12.5;,,"""THIS WAS OBTAINED ON BOARD THE 'KAISERIN AUGUSTE VICTORIA' 18, JULY, 1906 BUTTOLPH"" WRITTEN ON BACK; RITZ CARLTON RESTAURANT PRICED MENU; MENU IN FRENCH;",1906-576,,,1906.07.14,Hamburg Amerika Linie,,Deutsche Marks,DM,complete,2.0,65.0
64,27374,,park lane,dinner,RESTAURANT,Park Lane; Park Lounge,broadside; 7.75 x 12.25 inches,SECULAR HOLIDAY," Baratta collection; wine suggestions; couvert $8.00 per person; music by Jan Schaff; ""Service from Noon Onward In The Park Lounge""; color (red, gold) ",Baratta 83,,,1963-11-28,Park Lane,,Doller,$,complete,1.0 pages,38.0
65,24304,,[FRATERNAL UNION OF ANOINTED HIGH PRIESTS OF THE STATE OF NEW YORK],THIRD ANNUAL BANQUET,SOC;,"RICCADONNA'S, NEW YORK, NY",folder; illus;4.5x5.5;,ANNIVERSARY;,DECORATED WITH GOLD LEAVES AND MENU EMBOSSED; INCLUDES OFFICERS AND DETAILS OF PROGRAM,1893-073,,,1893-06-05,Fraternal Union Of Anointed High Priests Of The State Of New York,,,,complete,4.0,22.0
66,19841,,[HAMBURG-AMERIKA LINIE],LUNCH,COMMERCIAL.,EN ROUTE ABOARD SCNELLDAMPFER (EXPRESS STEAMER) AUGUSTE VICTORIA,CARD; ILLS; 5 X 8;,,GERMAN AND ENGLISH; WOMAN IN CLASSICAL DRESS HOLDING SHIELD WITH INITIALS  H.A.P.A.G.; STEAMER; FRUITS;,1900-2593,,,03/28/1900,Hamburg Amerika Linie,,N/A,,complete,2.0 pages,26.0
67,33173,The Biltmore,The Biltmore,,,,28x18cm folded; 28x36cm open,,,1917-0923_wotm,,,14-12-1917,The Biltmore,,Doller,$,complete,4.0,170.0
68,12993,,[PENNSYLVANIA RAILROAD],PERSONALLY CONDUCTED TOUR THROUGH MEXICO & CALIFORNIA,COMMERCIAL,"PULLMAN, EN ROUTE",card; 5.25x7;,,,1900-1086,,,1900-02-15,Pennsylvania Railroad,,n/a,,complete,2.0,26.0
69,30175,,[Waldorf Astoria],,,,23.5x15.5cm folded; 23.5x31cm open,,Metropolitan Life Insurance Company,1939-0127_wotm,,,24-05-1939,Waldorf Astoria,,null,,complete,22.0,17.0
70,35148,Hanover Lunch,Hanover Lunch,,,,,, Brownsville Board of Trade ,1913-0376_wotm,,,04/17/1913,Hanover Lunch,,Drachmas,Drs.,complete,2.0 pages,69.0
71,28552,,R.M.S. Parthia,,,,16.5x21cm folded; 16.5x42cm open,,,1957-0090_wotm,,,1957-09-06,R.M.S. Parthia,,null,,complete,3.0,70.0
72,20862,,[NIPPON YUSEN KAISHA],DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,broadsheet; illus; col; 10.5 x 9.5;,, HANDWRITTEN; ILLUSTRATION OF CHILDREN CARRYING LANTERNS AND DRUM; MAP OF STEAMSHIP ROUTES ON BACK; ,1900-4198,,,08/30/1900,Nippon Yusen Kaisha,,N/A,,complete,2.0,20.0
73,31437,,[hotel brevoort],,,,46x15cm,, The Dickens Fellowship ,1932-0006_wotm,,,1932-02-06,Hotel Brevoort,,null,,complete,1.0,13.0
74,29984,,[[Restaurant And/Or Location Not Given]],,,,25x19cm folded; 25x38cm open,,,1949-0074_wotm,,,1949-12-24,[Restaurant And/Or Location Not Given],,N/A,,complete,2.0 pages,50.0
75,32747,Hotel Imperial,Hotel Imperial,,,,28x18cm,,,1917-0484_wotm,,,1917-11-15,Hotel Imperial,,Dollars,$,complete,2.0,113.0
76,30956,,[Hotel Majestic],,,,19x12cm,,,1938-0184_wotm,,,15-12-1938,Hotel Majestic,,n/a,,complete,1.0 pages,20.0
77,20197,,[NIPPON YUSEN KAISHA],TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSIDE; 5.5 X 7.75;,DAILY, HANDWRITTEN; RED BORDER; ,1900-4668,,,11-10-1900,Nippon Yusen Kaisha,,n/a,,complete,2.0,12.0
78,32375,Healy's Forty-second Street restaurant,[Healy's Forty-second Street restaurant],,,,33x18cm,,dinner,1918-0251_wotm,,,1918.02.19,Healy's Forty-second Street restaurant,,Dollars,$,complete,2.0 pages,311.0
79,33159,Waldorf Astoria,[Waldorf Astoria],,,,23x17.5cm folded; 23x35cm opened,,,1917-0909_wotm,,,1917.12.12,Waldorf Astoria,,Dollars,$,complete,4.0 pages,186.0
80,28244,,s.s. nieuw amsterdam,,,,34x21cm,,,1965-0056_wotm,,,07/03/1965,S.S. Nieuw Amsterdam,,,,complete,1.0 pages,114.0
81,31473,,"[t.n. ""conte di savoia""""""]",,,,20x14cm folded; 20x28cm open,,,1932-0042_wotm,,,12/17/1932,"T.N. ""Conte Di Savoia""""""",,None,,complete,4.0 pages,48.0
82,14836,,,,,,,,,,,,1900.04.08,Master Printers' Association,,n/a,,complete,2.0,30.0
83,27911,,[The Four Seasons],,,,22x14cm folded; 22x28cm open,,,1973-0019_wotm,,,1973.01.17,"The Wine And Food Society, Incorporated, New York",,null,,complete,4.0,13.0
84,12482,,[noviomagus],DINNER,,"FREEMASONS' TAVERN, [LONDON, ENGLAND]",card; 4.25x6.25;,, FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU]; ,1900-2856,,,18-04-1900,Noviomagus,,null,,complete,2.0,16.0
85,19715,,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,66TH STREET AND BROADWAY [NY],CARD;4.75 X 7.5;,, PRICED MENU; ,1900-2193,,,27-02-1900,Hotel Marie Antoinette,,Dollars,$,complete,2.0,81.0
86,16941,,STATLER'S HOTEL AND RESTAURANT,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",card; col; illus; 5.75 x 8;,, GREEN ILLUSTRATION OF HOTEL AND BUFFALO EXPOSITION (?); ,1901-1813,,,07/02/1901,Statler's Hotel And Restaurant,,None,,complete,2.0,23.0
87,35307,Plaza,[Plaza],,,,,,The Chironian,1913-0535_wotm,,,1913.05.29,Plaza,,null,,complete,8.0,16.0
88,28851,,[Holland America Cruises],,,,28x21.5cm folded; 28x43 open,,,1987-0084_wotm,,,01-01-1987,Holland America Cruises,,Dolars,$,complete,3.0,45.0
89,32703,Delmonicos,[Delmonicos],,,,30.5x22cm,,menu also printed in French,1917-0441_wotm,,,1917.11.13,Delmonicos,,Dollars,$,complete,2.0,254.0
90,23366,,society sons of the revolution in the state of missouri,banquet ,PATR;,"MERCANTILE CLUB HOUSE, ST. LOUIS MO",card folder; illus; col; 4.25 x 5.5;,OTHER (ANNIV),"PORTRAIT OF WASHINGTON, BLUE; GOLD LAUREL WREATH; FRENCH; TWO COPIES;",1895-043,,,1895-02-22,Society Sons Of The Revolution In The State Of Missouri,,,,complete,6.0,12.0
91,22600,,[COEUR DE LION CAMMANDERY NUMBER TWENTY-THREE KNIGHTS TEMPLAR],banquuet,SOC;.,NEW YORK,FOLDER; ILLUS; 6 X 9;,COMPLIMENTARY/TESTIMONIAL,COURSES CHOSEN TO ILLUSTATION VARIOUS AREAS OF THE U.S.; SMALL SKETCHES; SKETCH OF EDWIN C. HALL;,1907-065,,,1907.01.11,Coeur De Lion Cammandery Number Twenty Three Knights Templar,,N/A,,complete,8.0,18.0
92,25930,,astor house,DINNER,COMMERCIAL,NEW YORK,folder; illus; 7 x 10;,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-062,,,1900.01.07,Astor House,,Dollers,$,complete,4.0,489.0
93,24331,,[AMERICAN LINE TO MONTREAL],BREAKFAST,COMMERCIAL.,AT SEA,CARD; ILLUS; 5.25 X 8.25;,, ILLUSTRATION OF SHIP; PRICED WINE LIST; ,1898-212,,,1898.07.01,American Line To Montreal,,Dolars,$,complete,2.0,43.0
94,24693,,[AMEN CORNER AXE],DINNER,POL;,"FIFTH AVENUE HOTEL, [NEW YORK]",BOOKLET; 16 X 12,"OTHER, [SOC?];", CHAMPAGNES AND WINES LISTED;8 PAGE IRREVERANT NEWPAPER FORMAT; ,1908-105,,,02/01/1908,Amen Corner Axe,,null,,complete,8.0,26.0
95,32777,The Biltmore,[The Biltmore],,,,28x18cm folded; 28x36cm opened,,National Hotel Men's Exposition,1917-0514_wotm,,,1917-11-17,The Biltmore,,Dolars,$,complete,4.0,164.0
96,28574,,[Coffee House],,,,21.5x14cm folded; 21.5x28cm open,,,1957-0112_wotm,,,12-12-1957,Coffee House,,Doller,$,complete,5.0,69.0
97,26802,,Kaiserhof,,RESTAURANT,Kaiserhof,folder; 8 x 11.5 inches,,Dieter Zander Collection; prices are written in by hand.,Zander 361,,,04/11/1976,Kaiserhof,,Deutsche Marks,DM,complete,4.0 pages,76.0
98,23179,,BIRMINGHAM ALUMNI ASSOCIATION OF THE UNIVERSITY OF THE SOUTH,banqu3t,EDUC;,"BIRMINGHAM,ALABAMA",BOOKLET;RIBBON TRIM;5X7;,ANNUAL,LIST OF SPEAKERS & MEMBERS;,1906-781,,,26-10-1906,Birmingham Alumni Association Of The University Of The South,,n/a,,complete,8.0,23.0
99,25791,,FREINDS OF WILLIAM CLAUSS,DINNER TO ABOVE,SOC;,"THE ST. NICHOLAS, CINCINNATI, OH",CARD; COL; ILLUS; 11/25 X 4/25;,COMPLIMENTARY/TESTIMONIAL,"MARTINIS AND WINES IWITH EACH COURSE; GRAY STOCK, PINK VELOUR CARNATIONS;",1908-106,,,1908-02-01,Freinds Of William Clauss,,,,complete,2.0,22.0
