id,name,sponsor,event,venue,place,city,physical_description,physical_types,size,occasion,notes,call_number,call_number_suffix,keywords,language,date,year,location,location_type,currency,currency_symbol,status,page_count,dish_count
32912,The New Mills Hotel,The New Mills Hotel,,,,,16x12cm folded; 16x24cm open,FOLDER,16X12;16X24,Unknown,,1917-0652,wotm,,,1917-11-23T00:00:00Z,1917,The New Mills Hotel,,Dollars,$,complete,4,67
34038,[Restaurant name and/or location not given],[restaurant And/or Location Not Given],,,,,22x11cm,,22X11,Unknown,,1914-0741,wotm,,,1914-07-12T00:00:00Z,1914,[Restaurant name and/or location not given],,Dollars,$,complete,1,47
33189,Louis Sherry,Louis Sherry,,,,,26.5x15.5cm folded; 26.5x31cm open,FOLDER,26.5X15.5;26.5X31,Unknown,,1917-0939,wotm,,,1917-12-15T00:00:00Z,1917,Louis Sherry,,Dollars,$,complete,5,201
14250,,Summit House,dinner,COMMERCIAL,"MOUNT WASHINGTON, NH",MOUNT WASHINGTON,CARD; 4.5X7;,CARD,4.5X7,DAILY,,1901-2194,,,,1901-08-23T00:00:00Z,1901,Summit House,,,,complete,2,43
32522,The Mouquin Restaurant and Wine Co.,The Mouquin Restaurant And Wine Co.,,,,,35.5x19.5cm folded; 35.5x39cm open,FOLDER,35.5X19.5;35.5X39,Unknown,breakfast,1918-0119,wotm,,,1918-01-20T00:00:00Z,1918,The Mouquin Restaurant and Wine Co.,,Dollars,$,complete,3,172
24151,,Detroit Board Of Commerce,dinner,COMMERCIAL,"DETROIT, MI",DETROIT,BOOKLET; ILLUS; COL; 6.75X10.25;,BOOKLET,6.75X10.25,ANNIVERSARY,"MENU IN FRENCH; LISTS MANHATTAN COCKTAILS AND WINES SERVED WITH INDIVIDUAL COURSES; INCLUDES PHOTOGRAPH OF GUEST OF HONOR, HON. WILLIAM H. TAFT, SECRETARY OF WAR; PHOTOGRAPH OF MR. TAFT INCLUDED; MUSIC PROGRAMME; TOASTS; OFFICERS AND COMMITTEES LISTED; SE",1906-192,,,,1906-02-19T00:00:00Z,1906,Detroit Board Of Commerce,,,,complete,14,27
33790,Hotel Belvedere,Hotel Belvedere,,,,,18x12.5 cm folded; 18x25cm open,FOLDER,18X12.5;18X25,Unknown,Traffic Club of Baltimore,1914-0247,wotm,,,1914-02-17T00:00:00Z,1914,Hotel Belvedere,,,,complete,4,19
32971,[Restaurant name and/or location not given],[restaurant And/or Location Not Given],,,,,24x15cm,,24X15,Unknown,,1917-0711,wotm,,,1917-11-28T00:00:00Z,1917,[Restaurant name and/or location not given],,Dollars,$,complete,1,22
22365,,The Portland,dinner,COMMERCIAL,"PORTLAND, OREGON",PORTLAND,BOOKLET; ILL; 5.25X6.75,BOOKLET,5.25X6.75,SECULAR HOLIDAY,FASTENED AT LEFT BY RIBBON,1891-121,,,,1891-11-01T00:00:00Z,1891,The Portland,,,,complete,8,55
27130,,Southern Pacific,breakfast,RAILROAD,"The Beaver, Southern Pacific",Unknown,8 1/2 x 5 1/2 in. fold. ; ill. col.,FOLDER,8.5X5.5,Unknown,"Photographic illustration : Mile-High Lake Tahoe. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options. Insert : ""Economy Breakfast.""",Soete 101,,,,1941-11-01T00:00:00Z,1941,Southern Pacific,,Dollars,$,complete,4,92
31432,,The Mayflower Hotel,,,,,23x16cm folded; 23x32cm open,FOLDER,23X16;23X32,Unknown,Democratic National Committee,1932-0001,wotm,,,1932-01-08T00:00:00Z,1932,The Mayflower Hotel,,,,complete,4,14
12783,,Colonial Hotel,menu,COMMERCIAL,"NEW YORK, NY",NEW YORK,FOLDER; ILLUS; 6.25X10;,FOLDER,6.25X10,Unknown,"[DATE HANDWRITTEN]; MANY ADDITIONAL ITEMS TO MENU HANDWRITTEN; ""CREAM WITH TEA, COFFEE, ETC.,FIVE CENTS EXTRA;"" ILLUSTRATION OF HOTEL ON COVER;",1900-1015,,,,1900-02-12T00:00:00Z,1900,Colonial Hotel,,Dollars,$,complete,4,378
23099,,Woodstock Inn,breakfast,COMMERCIAL,"WOODSTOCK, VT",WOODSTOCK,BROADSIDE; 4.5X6.5;,BROADSIDE,4.5X6.5,Unknown,,1894-079,,,,1894-08-29T00:00:00Z,1894,Woodstock Inn,,,,complete,2,34
23580,,Hamburg-amerika Linie,breakfast,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",Unknown,CARD; ILLUS; COL; 5X8;,CARD,5X8,Unknown,"GERMAN & ENGLISH; ILLUSTRATION OF STEAMER, GODDESS OF FOOD, DECORATIVE VINES & FRUITS;",1901-814,,,,1901-04-01T00:00:00Z,1901,Hamburg Amerika Linie,,,,complete,2,26
26460,,Yamato,,RESTAURANT,Yamato,Unknown,Booklet; 11 x 13.25 inches,BOOKLET,11X13.25,Unknown,Dieter Zander Collection; descriptions of Japanese dishware; includes insert with late supper menu.,Zander 128,,,,,,Yamato,,Dollars,$,complete,12,93
27437,,Red Star Line,dinner,SS; FOR,ON BOARD THE SS VADERLAND,Unknown,CARD; ILLUS; COL; 5.5 X 7.75,CARD,5.5X7.75,DAILY,ILLUS OF WOMEN AT DOCK; DESIGNED TO BE USED AS POSTCARD; IN ENGLISH ONLY; POSTAL RATES FOR VARIOUS PORTS GIVEN; SIMPLE MENU,1910-912,,,,1910-03-17T00:00:00Z,1910,S.S. Vaderland,,,,complete,2,9
29986,,The Brass Rail,,,,,38x25.5cm folded; 38x51cm open,FOLDER,38X25.5;38X51,Unknown,,1949-0076,wotm,,,1949-12-23T00:00:00Z,1949,The Brass Rail,,Dollars,$,complete,4,430
30022,,Comstock Room Of The Palace Hotel,,,,,24x16cm folded; 24x31.5cm open,FOLDER,24X16;24X31.5,Unknown,,1948-0029,wotm,,,1948-03-16T00:00:00Z,1948,Comstock Room Of The Palace Hotel,,,,complete,4,14
32463,Healy's Forty-second Street Restaurant,Healy's Forty-second Street Restaurant,,,,,33x18cm,,33X18,Unknown,,1918-0069,wotm,,,1918-01-15T00:00:00Z,1918,Healy's Forty-second Street Restaurant,,Dollars,$,complete,2,226
31097,,The Commodore Hotel,,,,,19.5x14cm,,19.5X14,Unknown,grill room luncheon,1933-0199,wotm,,,1933-05-18T00:00:00Z,1933,The Commodore Hotel,,,,complete,1,25
17273,,,,,,,,,,Unknown,,,,,,1900-08-22T00:00:00Z,1900,Nippon Yusen Kaisha,,,,complete,2,14
12527,,Cunard Line,dinner,COMMERCIAL,"R.M.S. ""CAMPANIA""",Unknown,CARD; ILLUS; COL; 4.5X6.5;,CARD,4.5X6.5,DAILY,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2140,,,,1900-02-26T00:00:00Z,1900,Cunard Line,,,,complete,2,93
25566,,Norddeutscher Lloyd Bremen,breakfast,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",Unknown,CARD; ILLUS; COL; 5.25X8;,CARD,5.25X8,Unknown,GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP IN HARBOUR SURROUNDED BY SMALLER VESSELS;,1901-950,,,,1901-04-18T00:00:00Z,1901,Norddeutscher Lloyd Bremen,,,,complete,2,75
20249,,Hamburg-amerika Linie,lunch,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,Unknown,CARD; ILLUS; COL; 5 X 8;,CARD,5X8,Unknown,MENU IN GERMAN ONLY; ILLUSTATION OF SHIP AND WOMAN IN CLASSICAL DRESS WITH SHIELD SAYING HAPAG;,1901-1701,,,,1901-06-20T00:00:00Z,1901,Hamburg Amerika Linie,,,,complete,2,11
22779,,The Pennsylvania Bar Association On Behalf Of The Bar Of The Commonwealth,banquet,PROF,"HORTICULTURAL HALL, PHILADELPHIA, PA",PHILADELPHIA,BOOKLET; ILLUS; COL; 7X8.75;,BOOKLET,7X8.75,COMPLIMENTARY/TESTIMONIAL,"WINES LISTED; DRAWINGS AND QUOTES THROUGHOUT; PHOTO OF MR. MITCHELL AND DATES PERTINENT TO HIS LIFE LISTED; TOASTS, MUSIC AND PARTICIPANTS LISTED;",1907-997,,,,1907-11-23T00:00:00Z,1907,The Pennsylvania Bar Association On Behalf Of The Bar Of The Commonwealth,,,,complete,20,29
34189,Ye Olde Dutch Tavern,Ye Olde Dutch Tavern,,,,,28x18cm,,28X18,Unknown,,1914-0891,wotm,,,1914-09-01T00:00:00Z,1914,Ye Olde Dutch Tavern,,Dollars,$,complete,2,218
28340,,Topside,,,,,10x15cm folded; 29x15cm open,FOLDER,10X15;29X15,Unknown,,1982-0001,wotm,,,1982-07-27T00:00:00Z,1982,Topside,,Dollars,$,complete,3,97
29900,,The Maplewood,,,,,26.5x17.5cm,,26.5X17.5,Unknown,,1948-0058,wotm,,,1948-08-27T00:00:00Z,1948,The Maplewood,,,,complete,2,33
35356,Adam's Restaurant,Adam's Restaurant,,,,,,,,Unknown,Domestic Science at Hampton,1913-0584,wotm,,,1913-06-23T00:00:00Z,1913,Adam's Restaurant,,Dollars,$,complete,4,22
20904,,Toyo Kisen Kaisha,tiffin,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,Unknown,BROADSHEET; ILLUS; 6.5 X 7.75;,BROADSHEET,6.5X7.75,Unknown,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4487,,,,1900-09-26T00:00:00Z,1900,Toyo Kisen Kaisha,,,,complete,2,37
17067,,Norddeutscher Lloyd Bremen,breakfast,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",Unknown,CARD; ILLUS; COL; 5.25X8;,CARD,5.25X8,Unknown,"GERMAN & ENGLISH; ILLUSTRATIONS OF SEA SCENE WITH MANY SHIPS, ALSO A TABLE SET WITH TANKARD, WINEGLASSES, WINE BOTTLE, LOBSTER; CARD ALSO A POSTCARD;",1901-1679,,,,1901-06-18T00:00:00Z,1901,Norddeutscher Lloyd Bremen,,,,complete,2,68
26336,,Longfellow Centenary,dinner,SOC,"NATIONAL ARTS CLUB, NEW YORK, NY",NEW YORK,CARD; COL; 4.5X7;,CARD,4.5X7,COMPLIMENTARY/TESTIMONIAL,BUFF STOCK;,1907-276,,,,1907-02-27T00:00:00Z,1907,Longfellow Centenary,,,,complete,2,13
35060,Gardner & Smith,Gardner & Smith,,,,,,,,Unknown,The Mendelssohn Glee Club,1913-0288,wotm,,,1913-03-14T00:00:00Z,1913,Gardner & Smith,,Dollars,$,complete,4,298
33085,Fifth Avenue Restaurant,Fifth Avenue Restaurant,,,,,26.5x20.5cm folded; 26.5x41cm open,FOLDER,26.5X20.5;26.5X41,Unknown,,1917-0578,wotm,,,1917-11-20T00:00:00Z,1917,Fifth Avenue Restaurant,,Dollars,$,complete,3,125
13714,,Toyo Kisen Kaisha - Hing Kong Maru,breakfast,COMMERCIAL,EN ROUTE,Unknown,"FOLDER; ILLUS, COVER;3 X 7.75;",FOLDER,3X7.75,Unknown,,1900-4638,,,,1900-10-09T00:00:00Z,1900,Toyo Kisen Kaisha Hing Kong Maru,,,,complete,2,24
24824,,Norwegian Government,dinner,GOVT,"PALAIS ROYAL - CHRISTIANIA,NORWAY",Unknown,CARD;ROYAL EMBLEM;3X5;,CARD,3X5,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH;,1907-752,,,,1907-08-24T00:00:00Z,1907,Norwegian Government,,,,complete,2,11
14425,,Twentieth Century Aldermanir Association,dinner,SOC,"COPLEY SQUARE HOTEL, BOSTON, MA",BOSTON,FOLDER; 4X6;,FOLDER,4X6,COMPLIMENTARY/TESTIMONIAL,,1907-1051,,,,1907-12-07T00:00:00Z,1907,Twentieth Century Aldermanir Association,,,,complete,4,18
33147,John Wanamaker,John Wanamaker,,,,,25.5x17.5cm,,25.5X17.5,Unknown,,1917-0897,wotm,,,1917-12-11T00:00:00Z,1917,John Wanamaker,,Dollars,$,complete,1,43
30386,,United States Senate Office Building Restaurant,,,,,28x20.5cm,,28X20.5,Unknown,,1940-0050,wotm,,,1940-03-30T00:00:00Z,1940,United States Senate Office Building Restaurant,,Dollars,$,complete,1,90
29254,,Toots Shor,,,,,35x25.5cm folded; 35x51cm open,FOLDER,35X25.5;35X51,Unknown,,1954-0030,wotm,,,1954-04-14T00:00:00Z,1954,Toots Shor,,Dollars,$,complete,4,151
26846,,Restaurant Konighof,,RESTAURANT,Restaurant Konighof,Unknown,Folder; 5 x 8 inches,FOLDER,5X8,Unknown,Dieter Zander Collection.,Zander 318 undated,,,,,,Restaurant Konighof,,,,complete,2,7
23890,,Hamburg-amerika Linie,dinner,COMMERCIAL,"ON BOARD ""KAISERIN AUGUSTE VICTORIA""",Unknown,BROADSIDE; COL; 8.5X12.5;,BROADSIDE,8.5X12.5,Unknown,"""THIS WAS OBTAINED ON BOARD THE 'KAISERIN AUGUSTE VICTORIA' 18, JULY, 1906 BUTTOLPH"" WRITTEN ON BACK; RITZ CARLTON RESTAURANT PRICED MENU; MENU IN FRENCH;",1906-576,,,,1906-07-14T00:00:00Z,1906,Hamburg Amerika Linie,,Deutsche Marks,DM,complete,2,65
27374,,Park Lane,dinner,RESTAURANT,Park Lane; Park Lounge,Unknown,broadside; 7.75 x 12.25 inches,BROADSIDE,7.75X12.25,SECULAR HOLIDAY,"Baratta collection; wine suggestions; couvert $8.00 per person; music by Jan Schaff; ""Service from Noon Onward In The Park Lounge""; color (red, gold)",Baratta 83,,,,1963-11-28T00:00:00Z,1963,Park Lane,,Dollars,$,complete,1,38
24304,,Fraternal Union Of Anointed High Priests Of The State Of New York,banquet,SOC,"RICCADONNA'S, NEW YORK, NY",NEW YORK,FOLDER; ILLUS;4.5X5.5;,FOLDER,4.5X5.5,ANNIVERSARY,DECORATED WITH GOLD LEAVES AND MENU EMBOSSED; INCLUDES OFFICERS AND DETAILS OF PROGRAM,1893-073,,,,1893-06-05T00:00:00Z,1893,Fraternal Union Of Anointed High Priests Of The State Of New York,,,,complete,4,22
19841,,Hamburg-amerika Linie,lunch,COMMERCIAL,EN ROUTE ABOARD SCNELLDAMPFER (EXPRESS STEAMER) AUGUSTE VICTORIA,Unknown,CARD; ILLS; 5 X 8;,CARD,5X8,Unknown,GERMAN AND ENGLISH; WOMAN IN CLASSICAL DRESS HOLDING SHIELD WITH INITIALS  H.A.P.A.G.; STEAMER; FRUITS;,1900-2593,,,,1900-03-28T00:00:00Z,1900,Hamburg Amerika Linie,,,,complete,2,26
33173,The Biltmore,The Biltmore,,,,,28x18cm folded; 28x36cm open,FOLDER,28X18;28X36,Unknown,,1917-0923,wotm,,,1917-12-14T00:00:00Z,1917,The Biltmore,,Dollars,$,complete,4,170
12993,,Pennsylvania Railroad,personally conducted tour through mexico & california,COMMERCIAL,"PULLMAN, EN ROUTE",PULLMAN,CARD; 5.25X7;,CARD,5.25X7,Unknown,,1900-1086,,,,1900-02-15T00:00:00Z,1900,Pennsylvania Railroad,,,,complete,2,26
30175,,Waldorf Astoria,,,,,23.5x15.5cm folded; 23.5x31cm open,FOLDER,23.5X15.5;23.5X31,Unknown,Metropolitan Life Insurance Company,1939-0127,wotm,,,1939-05-24T00:00:00Z,1939,Waldorf Astoria,,,,complete,22,17
35148,Hanover Lunch,Hanover Lunch,,,,,,,,Unknown,Brownsville Board of Trade,1913-0376,wotm,,,1913-04-17T00:00:00Z,1913,Hanover Lunch,,Drachmas,Drs.,complete,2,69
28552,,R.M.S. Parthia,,,,,16.5x21cm folded; 16.5x42cm open,FOLDER,16.5X21;16.5X42,Unknown,,1957-0090,wotm,,,1957-09-06T00:00:00Z,1957,R.M.S. Parthia,,,,complete,3,70
20862,,Nippon Yusen Kaisha,dinner,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,Unknown,BROADSHEET; ILLUS; COL; 10.5 X 9.5;,BROADSHEET,10.5X9.5,Unknown,HANDWRITTEN; ILLUSTRATION OF CHILDREN CARRYING LANTERNS AND DRUM; MAP OF STEAMSHIP ROUTES ON BACK;,1900-4198,,,,1900-08-30T00:00:00Z,1900,Nippon Yusen Kaisha,,,,complete,2,20
31437,,Hotel Brevoort,,,,,46x15cm,,46X15,Unknown,The Dickens Fellowship,1932-0006,wotm,,,1932-02-06T00:00:00Z,1932,Hotel Brevoort,,,,complete,1,13
29984,,[restaurant And/or Location Not Given],,,,,25x19cm folded; 25x38cm open,FOLDER,25X19;25X38,Unknown,,1949-0074,wotm,,,1949-12-24T00:00:00Z,1949,[Restaurant And/Or Location Not Given],,,,complete,2,50
32747,Hotel Imperial,Hotel Imperial,,,,,28x18cm,,28X18,Unknown,,1917-0484,wotm,,,1917-11-15T00:00:00Z,1917,Hotel Imperial,,Dollars,$,complete,2,113
30956,,Hotel Majestic,,,,,19x12cm,,19X12,Unknown,,1938-0184,wotm,,,1938-12-15T00:00:00Z,1938,Hotel Majestic,,,,complete,1,20
20197,,Nippon Yusen Kaisha,tiffin,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,Unknown,BROADSIDE; 5.5 X 7.75;,BROADSIDE,5.5X7.75,DAILY,HANDWRITTEN; RED BORDER;,1900-4668,,,,1900-10-11T00:00:00Z,1900,Nippon Yusen Kaisha,,,,complete,2,12
32375,Healy's Forty-second Street restaurant,Healy's Forty-second Street Restaurant,,,,,33x18cm,,33X18,Unknown,dinner,1918-0251,wotm,,,1918-02-19T00:00:00Z,1918,Healy's Forty-second Street Restaurant,,Dollars,$,complete,2,311
33159,Waldorf Astoria,Waldorf Astoria,,,,,23x17.5cm folded; 23x35cm opened,FOLDER,23X17.5;23X35,Unknown,,1917-0909,wotm,,,1917-12-12T00:00:00Z,1917,Waldorf Astoria,,Dollars,$,complete,4,186
28244,,S.S. Nieuw Amsterdam,,,,,34x21cm,,34X21,Unknown,,1965-0056,wotm,,,1965-07-03T00:00:00Z,1965,S.S. Nieuw Amsterdam,,,,complete,1,114
31473,,"T.N. ""conte Di Savoia""""""",,,,,20x14cm folded; 20x28cm open,FOLDER,20X14;20X28,Unknown,,1932-0042,wotm,,,1932-12-17T00:00:00Z,1932,"T.N. ""Conte Di Savoia""""""",,,,complete,4,48
14836,,,,,,,,,,Unknown,,,,,,1900-04-08T00:00:00Z,1900,Master Printers' Association,,,,complete,2,30
27911,,The Four Seasons,,,,,22x14cm folded; 22x28cm open,FOLDER,22X14;22X28,Unknown,,1973-0019,wotm,,,1973-01-17T00:00:00Z,1973,"The Wine And Food Society, Incorporated, New York",,,,complete,4,13
12482,,Noviomagus,dinner,,"FREEMASONS' TAVERN, [LONDON, ENGLAND]",LONDON,CARD; 4.25X6.25;,CARD,4.25X6.25,Unknown,FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU];,1900-2856,,,,1900-04-18T00:00:00Z,1900,Noviomagus,,,,complete,2,16
19715,,Hotel Marie Antoinette,luncheon,COMMERCIAL,66TH STREET AND BROADWAY [NY],NEW YORK,CARD;4.75 X 7.5;,CARD,4.75X7.5,Unknown,PRICED MENU;,1900-2193,,,,1900-02-27T00:00:00Z,1900,Hotel Marie Antoinette,,Dollars,$,complete,2,81
16941,,Statler's Hotel And Restaurant,dinner,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",BUFFALO,CARD; COL; ILLUS; 5.75 X 8;,CARD,5.75X8,Unknown,GREEN ILLUSTRATION OF HOTEL AND BUFFALO EXPOSITION (?);,1901-1813,,,,1901-07-02T00:00:00Z,1901,Statler's Hotel And Restaurant,,,,complete,2,23
35307,Plaza,Plaza,,,,,,,,Unknown,The Chironian,1913-0535,wotm,,,1913-05-29T00:00:00Z,1913,Plaza,,,,complete,8,16
28851,,Holland America Cruises,,,,,28x21.5cm folded; 28x43 open,FOLDER,28X21.5;28X43,Unknown,,1987-0084,wotm,,,1987-01-01T00:00:00Z,1987,Holland America Cruises,,Dollars,$,complete,3,45
32703,Delmonicos,Delmonicos,,,,,30.5x22cm,,30.5X22,Unknown,menu also printed in French,1917-0441,wotm,,,1917-11-13T00:00:00Z,1917,Delmonicos,,Dollars,$,complete,2,254
23366,,Society Sons Of The Revolution In The State Of Missouri,banquet,PATR,"MERCANTILE CLUB HOUSE, ST. LOUIS MO",ST. LOUIS,CARD FOLDER; ILLUS; COL; 4.25 X 5.5;,CARD,4.25X5.5,OTHER (ANNIV),"PORTRAIT OF WASHINGTON, BLUE; GOLD LAUREL WREATH; FRENCH; TWO COPIES;",1895-043,,,,1895-02-22T00:00:00Z,1895,Society Sons Of The Revolution In The State Of Missouri,,,,complete,6,12
22600,,Coeur De Lion Cammandery Number Twenty-three Knights Templar,banquet,SOC,NEW YORK,NEW YORK,FOLDER; ILLUS; 6 X 9;,FOLDER,6X9,COMPLIMENTARY/TESTIMONIAL,COURSES CHOSEN TO ILLUSTATION VARIOUS AREAS OF THE U.S.; SMALL SKETCHES; SKETCH OF EDWIN C. HALL;,1907-065,,,,1907-01-11T00:00:00Z,1907,Coeur De Lion Cammandery Number Twenty Three Knights Templar,,,,complete,8,18
25930,,Astor House,dinner,COMMERCIAL,NEW YORK,NEW YORK,FOLDER; ILLUS; 7 X 10;,FOLDER,7X10,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-062,,,,1900-01-07T00:00:00Z,1900,Astor House,,Dollars,$,complete,4,489
